model_no,k_name,l1,l2,b,lppd_exact
1,ksqexp,1,1.5,0.5,-692342.9056152294
2,ksqexp,1,1.5,1,-346143.25821396185
3,ksqexp,1,1.5,1.5,-230747.72996998095
4,ksqexp,1,2,0.5,-207499.15040800613
5,ksqexp,1,2,1,-103736.4232876363
6,ksqexp,1,2,1.5,-69153.20736303163
7,ksqexp,1,3,0.5,-51802.10843744727
8,ksqexp,1,3,1,-25902.070896157165
9,ksqexp,1,3,1.5,-17273.085408037547
10,ksqexp,1,3.5,0.5,-33967.01078835032
11,ksqexp,1,3.5,1,-16988.27194775336
12,ksqexp,1,3.5,1.5,-11333.05271716725
13,ksqexp,1,4,0.5,-24787.109999293138
14,ksqexp,1,4,1,-12401.017098145621
15,ksqexp,1,4,1.5,-8276.6798559087365
16,ksqexp,1,4.5,0.5,-19280.042316573792
17,ksqexp,1,4.5,1,-9649.54591915992
18,ksqexp,1,4.5,1.5,-6443.740848683069
19,ksqexp,1,5,0.5,-15560.338033993965
20,ksqexp,1,5,1,-7791.344861098269
21,ksqexp,1,5,1.5,-5206.040867511953
22,ksqexp,1,6,0.5,-10806.439562186773
23,ksqexp,1,6,1,-5416.89317318978
24,ksqexp,1,6,1.5,-3624.7381095490196
25,ksqexp,1,10,0.5,-3906.1231394232914
26,ksqexp,1,10,1,-1971.6874897558341
27,ksqexp,1,10,1.5,-1331.2360074922967
28,ksqexp,1,50,0.5,-193.8773530434656
29,ksqexp,1,50,1,-124.08271036723932
30,ksqexp,1,50,1.5,-105.17823067278268
31,ksqexp,1,100,0.5,-83.84725002093845
32,ksqexp,1,100,1,-71.90503703703538
33,ksqexp,1,100,1.5,-72.28470057373612
37,ksqexp,1.5,2,0.5,-1282317.7264484582
38,ksqexp,1.5,2,1,-641121.9341602928
39,ksqexp,1.5,2,1.5,-427394.3436223944
40,ksqexp,1.5,3,0.5,-205850.25903922739
41,ksqexp,1.5,3,1,-102911.96934181194
42,ksqexp,1.5,3,1.5,-68603.56590013378
43,ksqexp,1.5,3.5,0.5,-116990.10529326794
44,ksqexp,1.5,3.5,1,-58488.046742684266
45,ksqexp,1.5,3.5,1.5,-38991.72075382743
46,ksqexp,1.5,4,0.5,-74184.91447661463
47,ksqexp,1.5,4,1,-37090.02255316261
48,ksqexp,1.5,4,1.5,-24729.41889436583
49,ksqexp,1.5,4.5,0.5,-51388.56603098716
50,ksqexp,1.5,4.5,1,-25695.291449663146
51,ksqexp,1.5,4.5,1.5,-17135.22694881056
52,ksqexp,1.5,5,0.5,-38229.17485622445
53,ksqexp,1.5,5,1,-19118.24215762207
54,ksqexp,1.5,5,1.5,-12752.291636151349
55,ksqexp,1.5,6,0.5,-24585.813039804143
56,ksqexp,1.5,6,1,-12300.360376177754
57,ksqexp,1.5,6,1.5,-8209.569879926263
58,ksqexp,1.5,10,0.5,-8685.160506863358
59,ksqexp,1.5,10,1,-4357.497266359814
60,ksqexp,1.5,10,1.5,-2919.3032528673884
61,ksqexp,1.5,50,0.5,-380.59973934372465
62,ksqexp,1.5,50,1,-215.5314095458239
63,ksqexp,1.5,50,1.5,-164.86903414258202
64,ksqexp,1.5,100,0.5,-127.25005605834296
65,ksqexp,1.5,100,1,-92.03046590983828
66,ksqexp,1.5,100,1.5,-84.6510037249001
73,ksqexp,2,3,0.5,-677551.9750417217
74,ksqexp,2,3,1,-338747.5954028709
75,ksqexp,2,3,1.5,-225817.1565052863
76,ksqexp,2,3.5,0.5,-343358.074528
77,ksqexp,2,3.5,1,-171659.49150380053
78,ksqexp,2,3.5,1.5,-114430.98923924203
79,ksqexp,2,4,0.5,-203562.74565191523
80,ksqexp,2,4,1,-101768.02358965075
81,ksqexp,2,4,1.5,-67840.80935823591
82,ksqexp,2,4.5,0.5,-131751.95873128573
83,ksqexp,2,4.5,1,-65867.41677408462
84,ksqexp,2,4.5,1.5,-43910.2629235269
85,ksqexp,2,5,0.5,-91017.2836835404
86,ksqexp,2,5,1,-45503.89790060171
87,ksqexp,2,5,1.5,-30337.129577142598
88,ksqexp,2,6,0.5,-50816.085003821034
89,ksqexp,2,6,1,-25408.861873679736
90,ksqexp,2,6,1.5,-16944.147856424624
91,ksqexp,2,10,0.5,-15249.328987695908
92,ksqexp,2,10,1,-7635.643033246933
93,ksqexp,2,10,1.5,-5102.10811252562
94,ksqexp,2,50,0.5,-637.7208796175246
95,ksqexp,2,50,1,-342.5078019909057
96,ksqexp,2,50,1.5,-248.46384397391074
97,ksqexp,2,100,0.5,-187.73338641025495
98,ksqexp,2,100,1,-120.81342245988044
99,ksqexp,2,100,1.5,-102.86716900738061
106,ksqexp,2.5,3,0.5,-2483801.5520153972
107,ksqexp,2.5,3,1,-1241853.3216065506
108,ksqexp,2.5,3,1.5,-827874.8590316089
109,ksqexp,2.5,3.5,0.5,-987231.6633044453
110,ksqexp,2.5,3.5,1,-493581.8209028757
111,ksqexp,2.5,3.5,1.5,-329036.2203131652
